Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Basanti Tangewali,-1992,,"Action, Thriller",4.3,9,Kanti Shah,Ishrat Ali,Sadashiv Amrapurkar,Avtar Gill
Bhabi,-1938,,"Drama, Family",6.3,9,Franz Osten,Renuka Devi,Paidi Jairaj,Meera
Bhai Thakur,-2000,118 min,"Action, Drama",3.2,9,William Hunt,Raja,Willy,Dharmendra
Bharat Milap,-1942,170 min,"Adventure, Drama, History",6.6,9,Vijay Bhatt,Prem Adib,K.B. Athavale,Umakant Desai
Bhikharan,-1935,143 min,Drama,6.2,9,Premankur Atorthy,Rattan Bai,Master Vinayak,I.A. Hafizji
Bhobhar - The Live Ash,-2012,100 min,"Drama, Family, Romance",4.9,9,Gajendra Shanker Shrotriya,Vinod Acharya,Vasudev Bhatt,Vishal Bhatt
Bhoot Ka Darr,-1999,85 min,Horror,4,9,S. Gawli,Sapna Sappu,Junior Amitabh Bachchan,Jyoti Rana
Bombay Police,-1992,,Action,5.4,9,Narayana Rao Uppalapati,Nagarjuna Akkineni,J.D. Chakravarthi,Prabhu Deva
Chandaal Atma,-1999,129 min,Horror,4.6,9,S.R. Pratap,Aparna,Rakesh Bedi,Sudhir Dalvi
Chandni Chowk,-1954,,"Drama, Family",5.6,9,B.R. Chopra,Meena Kumari,Shekhar,Jeevan
Chhoo Mantar,-1956,,Comedy,6.1,9,M. Sadiq,Shyama,Johnny Walker,Anita Guha
Chingari,-1971,,Drama,4.6,9,Ram Maheshwari,Leena Chandavarkar,Sanjay Khan,Pran
Cinderella,-2015,113 min,Fantasy,6.7,9,Kiran Nakti,Mangesh Desai,Vinit Bonde,Janardhan Parab
College Girl,-1978,,Romance,6.2,9,S.D. Narang,Bindiya Goswami,Rita Bhaduri,Master Bhagwan
Dacait,-2000,,Action,5.1,9,Jitendra Chawda,Ishrat Ali,Dharmendra,Mohan Joshi
Dansh,-2018,85 min,Drama,8.3,9,Balmukund Tripathi,Abhishek Brahmachari,Ajay Dubey,Harsh Gupta
Darogaji,-1949,123 min,"Crime, Drama, Romance",7.7,9,Akhtar Hussein,Nargis,Paidi Jairaj,Rashid Khan
Diler,-1979,,Action,6.4,9,K.S.R. Das,Rajinikanth,Kavita,Vishnuvardhan
Do Jhoot,-1975,,Romance,5.8,9,Jitu Thakar,Vinod Mehra,Moushumi Chatterjee,Pran
Do Raha,-1971,130 min,Drama,6.3,9,Feroz Chinoy,Anil Dhawan,Radha Saluja,Roopesh Kumar
Do Sitare,-1951,,"Drama, Romance",7.7,9,D.D. Kashyap,Suraiya,Dev Anand,Prem Nath
Dushmano Ka Dushman,-1984,,Crime,6,9,Muktha V. Srinivasan,Ali Akbar,Chiranjeevi,Kannika
Ek Lootera,-2001,,Action,6.1,9,Jitendra Chawda,Dharmendra,Prithvi,Durgesh Nandini
Ek Naya Itihas,-1984,,Drama,8.6,9,B.S. Narayan,Vishnuvardhan,Hema Malini,C.S. Dubey
Ek Saudagar,-1985,,Drama,5.1,9,P. Vasu,Poonam Dhillon,Kushboo,Rajinikanth
Ek Shola,-1956,,"Comedy, Drama, Romance",4.4,9,Chander Saigal,Pradeep Kumar,Mala Sinha,Shubha Khote
Ennavo Nadikkaradhu,-1991,,,3.6,9,Sridevi,,,
Extraordinaari,-2015,144 min,"Drama, Family, Fantasy",3.4,9,Sunanda Shyamal Mitra,Rituparna Sengupta,Abhishek Gupta,Satyajit Sharma
Fashion,-1957,148 min,"Drama, Family",8,9,Lekhraj Bhakri,Pradeep Kumar,Manoj Kumar,Mala Sinha
Filter Coffee Liquor Cha,-2019,80 min,Drama,6.9,9,Debarati Gupta,Nishan Nanaiah,Priyanka Sarkar,Usha Uthup
Forty Days,-1959,,Action,6.1,9,Dwarka Khosla,Prem Nath,Shakila,K.N. Singh
Gabbar Singh,-2007,111 min,Action,4.8,9,Kanti Shah,Amit Pachori,Shiva Rindani,Sapna Sappu
Galiyon Ka Badshah,-2001,,"Action, Thriller",5.6,9,Kanti Shah,Ishrat Ali,Hemant Birje,Amisha Desai
Gaon Ki Gori,-1945,,Drama,6.9,9,K. Amarnath,Noor Jehan,Durga Khote,Nazir
Garam Khoon,-1980,,Action,5.7,9,A. Salaam,Vinod Khanna,Sulakshana Pandit,Ajit
Gautama the Buddha,-1967,,Documentary,7.4,9,Bimal Roy,,,
Gharwali Baharwali,-1988,,Family,4.3,9,Sripathi Panditharadhyula Rajaram,Farooq Shaikh,Anuradha Patel,Kim
Ghat Ghat Ka Paani,-2017,68 min,Documentary,7.8,9,Akash Shukla,,,
Girls' Hostel,-1962,,Drama,4.4,9,Ravindra Dave,Ajit,Nalini Jaywant,Johnny Walker
Gokul,-1985,,Drama,6.4,9,Arundhati Devi,Dipendra Acharya,Manoj Mitra,Tanuja
Gopalaa,-1994,,Action,2.9,9,Akash Jain,Chunky Panday,Shilpa Shirodkar,Kiran Kumar
Gustakhi Maaf,-1969,136 min,Comedy,6.6,9,Raj Kumar Bedi,Rajkumar Bedi,Tanuja,Sanjeev Kumar
Habari,-1979,,Action,6.7,9,Sher Jung Singh,Mahendra Sandhu,Priti Sapru Walia,Narendra Nath
Hamari Baat,-1943,,,8.2,9,M.I. Dharamsey,Devika Rani,Suraiya,David Abraham
Heart of a Murderer,-2013,56 min,"Documentary, Drama",7.8,9,Catherine McGilvray,,,
Heeron Ka Chor,-1982,133 min,Action,3.4,9,S.K. Kapur,Mithun Chakraborty,Chandrashekhar,Leena Das
Holi Ayee Re,-1970,144 min,"Drama, Family",5.9,9,Harsukh Jagneshwar Bhatt,Mala Sinha,Balraj Sahni,Premendra
Humsafar,-1953,,"Drama, Romance",7.9,9,A.N. Bannerjee,Chetan Anand,Dev Anand,Kalpana Kartik
Humse Na Jeeta Koi,-1983,120 min,Comedy,5.3,9,Shibu Mitra,Amjad Khan,Randhir Kapoor,Raj Kiran
I Love You,-1992,,"Drama, Romance",3.7,9,Vara Prasad,Sabah,Shobha,Amrish Puri
Inteha,-1984,,"Drama, Family",5.3,9,Shibu Mitra,Raj Babbar,Reena Roy,Shakti Kapoor
It's Rocking: Dard-E-Disco,-2012,93 min,Comedy,4.3,9,Ashok Tyagi,Asrani,Arun Bakshi,Dinesh Hingoo
Jaan Likhu Janam Likhu,-2001,,"Music, Romance",3.3,9,Shahid Kapoor,Ayesha Takia,,
Jab Andhera Hota Hai,-1974,,"Crime, Drama, Mystery",6.1,9,Deepak Bahry,Vikram Makandar,Prema Narayan,Madan Puri
Jadu Ka Shankh,-1974,,"Adventure, Family, Fantasy",7.6,9,Sai Paranjape,Nandita Aras,Sulabha Deshpande,Girish Karnad
Jadu Nagari,-1986,,"Action, Adventure, Fantasy",4,9,K. Shankar,Sarath Babu,Sridevi,
Jaggu,-2004,,Action,4.1,9,Ramya Krishnan,Prakash Raj,Arjun Sarja,Reema Sen
Janmabhoomi,-1936,139 min,Drama,5.9,9,Franz Osten,Devika Rani,Ashok Kumar,Pramila
Jeetenge Hum,-2001,,Action,5.6,9,Sunil Bohra,Dinyar Contractor,Priya Gill,Gulshan Grover
Jeevan Daata,-1991,120 min,Action,3.8,9,Swaroop Kumar,Chunky Panday,Aditya Pancholi,Kimi Katkar
Johnny-Walker,-1957,151 min,"Comedy, Romance",6,9,Madan,Daljit Ved,Shyama,Johnny Walker
Josh-E-Jawaani,-2001,,Romance,4.2,9,Bunty Bedi,Rakesh Bedi,Kishore Anand Bhanushali,Ramesh Goyal
Jwaala Daaku,-1981,,Action,5.3,9,R.P. Swamy,Mahendra Sandhu,Asha Sachdev,Farida Jalal
Kaam Jwala: The Fire,-2004,73 min,Drama,2.7,9,Kanti Shah,Amit Pachori,Sapna Sappu,Junior Jagdeep
Kab Tak Chup Rahungi,-1988,,Drama,5.8,9,T. Prakash Rao,Amala Akkineni,Vikas Anand,Darshan
Kabli Khan,-1963,123 min,"Action, Musical",4.8,9,K. Amarnath,Ajit,Helen,Samson
Kahani Ek Chor Ki,-1981,138 min,"Action, Crime",5.2,9,S. Ramanathan,Asrani,Master Bhagwan,Chandrashekhar
Kahani Hum Subb Ki,-1973,,"Drama, Romance",3.1,9,Rajkumar Kohli,Mala Sinha,Om Prakash,Arun Chopra
Kal Hamara Hai,-2016,,Drama,5.9,9,Dhruv Lather,Shivangi Bhayana,Tarun Gahlot,Himanshu Kohli
Kali Ghata,-1951,145 min,"Drama, Romance",6.3,9,Kishore Sahu,Kishore Sahu,Bina Rai,Asha Mathur
Kangan,-1959,144 min,Mystery,6.8,9,Nanabhai Bhatt,Nirupa Roy,Ashok Kumar,Purnima
Kanoon Ki Hathkadee,-1988,,Action,4,9,K. Bapaiah,Sridevi,Krishna,Gummadi
Karodpati,-1936,,,6.3,9,Radhakrishan,Shashikala,K.N. Singh,
Kashmira,-1983,,,2.7,9,Sukhdev Ahluwalia,Veena Kapoor,Monto,Rabia Nazki
Kaun Apna Kaun Paraya,-1963,,"Drama, Family",4.7,9,Niranjan,Waheeda Rehman,Vijay Kumar,Johnny Walker
Khoon Ki Keemat,-1974,126 min,"Action, Thriller",6.1,9,Shibu Mitra,Mahendra Sandhu,Neelam Mehra,Roopesh Kumar
Khufia Mahal,-1964,140 min,"Adventure, Comedy, Drama",5.8,9,Aakkoo,Paidi Jairaj,Chitra,Mohan Sherry
Kid Krrish 4 - Shakalaka Africa,-2015,,Animation,7.6,9,Deepak Naidu,,,
Koi Hai,-2003,102 min,"Drama, Horror",2.4,9,Rajiv S. Ruia,Aman Verma,Shweta Menon,Rinku Ghosh
Krishna Leela,-1946,,,6.4,9,Debaki Bose,Kanan Devi,Devi Mukherjee,Ranjit Roy
Laalchee,-1996,,Drama,5.7,9,Raj N. Sippy,Vikas Anand,Balbinder Dhami,Anil Dhawan
Ladki Sahyadri Ki,-1966,,"Musical, Drama",5,9,Shantaram Rajaram Vankudre,Shalini Abhyankar,Keshavrao Date,Vatsala Deshmukh
Lal Quila,-1960,134 min,Thriller,6.3,9,Nanabhai Bhatt,Paidi Jairaj,Helen,Kamal Kapoor
Lavanya Preeti,-1993,90 min,Drama,5.2,9,Apurba Kishore Bir,Aditi Bir,Saumysri Misra,Tara Shankar Misra
Madhubaala,-2006,133 min,Thriller,3.2,9,Shivram Yadav,Sameer Dharmadhikari,Gurpreet kaur Sodhi,Gurpreet Singh
Maharana Pratap,-1946,,,7,9,Jayant Desai,,,
Main Aur Tum,-1987,,Thriller,6,9,Brando Bakshi,Sonika Gill,Om Shivpuri,
Majboor Ladki,-1991,127 min,Thriller,2.8,9,Ram Pahwa,Pankaj Dheer,Javed Khan,Alok Nath
Make in India,-2019,,Drama,7,9,B.K. Singh,Surinder Yadav,Saumendra Dash,Sushil Dubey
Maya Machindra,-1975,,Drama,7.9,9,S.N. Tripathi,Abhi Bhattacharya,Kanan Kaushal,Satyajeet
Meghdoot,-1945,,,6.4,9,Debaki Bose,Leela Desai,Shahu Modak,
Mera Yaar Mera Dushman,-1987,,Musical,4.3,9,Anil Ganguly,Beena Banerjee,Master Bhagwan,Ardhendu Bose
Mere Saath Chal,-1986,,Drama,5.6,9,Suresh Kumar Sharma,Javed Khan,Shreeram Lagoo,Mushtaq Merchant
Meri Lalkaar,-1990,,Action,4.2,9,Yash Chouhan,Sadashiv Amrapurkar,Bharat Bhushan,Puneet Issar
Meri Mohabbat Mera Naseeba,-1995,,Romance,3,9,Kamal Sahni,Mohnish Bahl,Ravi Behl,Shafi Inamdar
Milta Hai Chance by Chance,-2011,87 min,Comedy,6.2,9,Ramesh Modi,Muntazir Ahmad,Diveyaa Dwivedi,Divyaa Dwivedi
Miss Manorama,-1935,90 min,Drama,6.3,9,Faredoon A. Irani,Aghajani,Jehanara Kajjan,Agha Jani Kashmiri
Mohabat Ka Paigham,-1989,,"Family, Drama",4.6,9,Padmini Kapila,Padmini,Shammi Kapoor,Raj Babbar
Mohan,-1947,,Mystery,8.7,9,Anadinath Bannerjee,Dev Anand,Hemavathi,Vimala Vasishta
Murari the Mad Gentleman,-2016,,"Comedy, Drama",6.2,9,Suzad Iqbal Khan,Sanjay Singh,Asrani,Natalya Llina
Na Jaane Kabse,-2011,132 min,Romance,5.4,9,Pammi Somal,Lillete Dubey,Gurpreet Ghuggi,Gary Gill
Naa,-1971,,Animation,3.8,9,Bhimsain,,,
Namma Annachi,-1994,,Drama,5,9,Dhalapathi,Manager Cheena,Ganthimathi,Charu Haasan
Naseebwaala,-1992,132 min,Drama,3.8,9,Kalpataru,Chunky Panday,Nutan,Farha Naaz
Natak,-1975,,Drama,5.8,9,Sohanlal Kanwar,Vijay Arora,Moushumi Chatterjee,Snehlata
Nau Bahar,-1952,,"Drama, Family",6.6,9,Anand Kumar,Ashok Kumar,Nalini Jaywant,Kuldip Kaur
Naya Nasha,-1973,,"Crime, Drama, Thriller",4.7,9,Hari Dutt,Abhijeet,Ramesh Deo,Seema Deo
Nili,-1950,,Romance,7.7,9,Ratilal Hemchand Punatar,Suraiya,Shyama,Agha
Panchamirtham,-2008,131 min,Comedy,7.3,9,Raju Eswaran,Aravind Akash,M.S. Bhaskar,Regina Cassandra
Pandi Durai,-1992,,Drama,4.2,9,Manojkumar,Goundamani,Mansoor Ali Khan,Kushboo
Pandit Aur Pathan,-1977,,"Action, Crime, Drama",5.4,9,Joginder Shelly,Kiran Kumar,Nazneen,Mehmood
Pathreela Raasta,-1994,,Action,3.9,9,Ajay Kashyap,Dimple Kapadia,Varsha Usgaonkar,Sadashiv Amrapurkar
Payaase Panchhi,-1961,139 min,Comedy,7,9,Harsukh Jagneshwar Bhatt,Mehmood,Ameeta,Jeevan
Phir Tauba Tauba,-2008,109 min,Romance,2.7,9,T.L.V. Prasad,Amin Gazi,Rahul Roy,Saadhika
Prakash Electronic,-2017,126 min,Comedy,4.9,9,Manoj Sharma,Hrishitaa Bhatt,Vrajesh Hirjee,Manoj Joshi
Pushpanjali,-1970,,"Drama, Family",7.1,9,Kishore Sahu,Sanjay Khan,Naina Sahu,Kishore Sahu
Pyaasi Bhootni,-2003,,Horror,5.9,9,Kanti Shah,Amit Pachori,Sapna Sappu,Kanti Shah
Pyasi Atma,-1998,,Horror,4.7,9,P. Chandrakumar,Dolly Bindra,Brahmachari,Mithun Chakraborty
Raat Ke Andhere Mein,-1987,110 min,"Horror, Mystery",4.3,9,Vinod Talwar,Javed Khan,Deepika Chikhalia,Dipika
Raja Aur Rana,-1984,,"Action, Comedy, Crime",6.4,9,Shibu Mitra,Aaloka,Ajit,Chandrashekhar
Ram Bhakta Hanuman,-1948,,"Action, Adventure, Fantasy",7.2,9,Homi Wadia,Trilok Kapoor,Sona Chatterjee,Amarnath
Ramnagri,-1982,,Drama,6.2,9,Kantilal Rathod,Sulabha Deshpande,Suhasini Mulay,Ram Nagarkar
Rangdari,-2012,,Action,6.6,9,Avinash Abhimanyu,Avinash Nanda,Abhimanyu Mishra,Gaurav Chopra
Rani Aur Maharani,-1993,,"Action, Thriller",4.1,9,Kanti Shah,Ishrat Ali,Sadashiv Amrapurkar,Damini
Ranj,-2019,80 min,Drama,7.2,9,Sunit Sinha,Raju Kumar,Madhu Sagar,Kriti Sharma
Riwayat,-2012,122 min,"Crime, Drama, Family",4.6,9,Vijay Patkar,Salil Ankola,Samapika Debnath,Saurabh Dubey
Saavi: A Bonded Bride,-2015,150 min,Drama,6.7,9,Rajeev Kumar,Jaspinder Cheema,Manni Boparai,Daljinder Basran
Sab Kuch Hai Kuch Bhi Nahin,-2005,,Drama,4.9,9,Abhik Bhanu,Brian Dawson,Vikram Gokhale,Puja Gupta
Sabse Bada Be-Imaan,-2000,,Action,4.6,9,Imran Khalid,Arjun,Manek Bedi,Laxmikant Berde
Sahara,-1943,,,6.1,9,Jagatrai Pesumal Advani,Renuka Devi,Narang,Pran
Sajna Saath Nibhana,-1986,132 min,Drama,4.1,9,Jwalamukhi,Danish Khan,Neelu,Nutan
Salaam Zindagi,-2017,120 min,Drama,6.4,9,Syed Hussain,Aziz Naser,Heena Shaik,Dheer Charan Srivastav
Samarat Prithviraj Chauvan,-1959,145 min,"Adventure, History, Thriller",6.7,9,Harsukh Jagneshwar Bhatt,Paidi Jairaj,Anita Guha,Ulhas
Samrajyam,-2009,,"Action, Crime, Mystery",4.2,9,Veeru Dwait,Suman,Priyanka Kothari,Malavikka
Sansani: The Sensation,-1981,,Thriller,4.9,9,Irshad,Vinod Mehra,Bindiya Goswami,Kavita
Sant Dnyaneshwar,-1940,137 min,Biography,8.1,9,Vishnupant Govind Damle,Sheikh Fattelal,Shahu Modak,Datta Dharmadhikari
Sarala,-1936,157 min,,6.4,9,Premankur Atorthy,Rattan Bai,M. Kumar,I.A. Hafizji
Savera,-1958,,"Crime, Drama",7.2,9,Satyen Bose,Ashok Kumar,Meena Kumari,Bipin Gupta
Secrets of the Seven Sounds,-2008,,"Animation, Adventure, Fantasy",3.8,9,Rajiv Maikhuri,Parvin Dabas,Gaurav Kapoor,Koel Purie
Seeta,-1934,,,6.4,9,Debaki Bose,Mukhtar Begum,Dhiraj Bhattacharya,Gul Hamid
Sewak,-1975,,Drama,6.7,9,S.M. Abbas,Vinod Khanna,Neetu Singh,Ranjeet
Shahenshah,-1953,123 min,Action,4.6,9,Amiya Chakrabarty,Ranjan,Shakila,K.N. Singh
Shararat,-1959,,Comedy,6.2,9,Harnam Singh Rawail,Kishore Kumar,Meena Kumari,Raaj Kumar
Shart,-1954,,"Drama, Family",5.8,9,Bibhuti Mitra,Deepak,Shyama,I.S. Johar
Sheikh Chilli,-1956,112 min,"Action, Adventure, Comedy",5.4,9,Ramchandra Thakur,Master Bhagwan,Shyama,Mahipal
Shikshaa,-1979,125 min,"Drama, Family",5.6,9,S. Ramanathan,Raj Kiran,Sushma Verma,Beena Banerjee
Shuruaat Ka Twist,-2019,142 min,Drama,6.6,9,Heena Dsouza,Avalokita Dutt,Praveen Fernandes,Hanish Kalia
Singaar,-1949,,"Drama, Family",6.8,9,J.K. Nanda,Paidi Jairaj,Suraiya,Madhubala
Sohni Mahiwal,-1958,104 min,"Musical, Romance",5.9,9,Raja Nawathe,Bharat Bhushan,Nimmi,Om Prakash
Some Where in Delhi,-1956,128 min,"Comedy, Drama, Romance",5.1,9,M. Sadiq,Harbans Darshan M. Arora,Ram Avtar,S.N. Banerjee
Sookha,-1983,119 min,Drama,6.6,9,M.S. Sathyu,Pankaj Dheer,Anant Nag,
Spandan,-1982,135 min,Drama,6.1,9,Biplab Roy Chowdhury,Utpal Dutt,Anita Kanwar,Amol Palekar
Subah Ka Tara,-1954,107 min,Romance,5.4,9,Shantaram Rajaram Vankudre,Pradeep Kumar,Shantaram Rajaram Vankudre,Jayshree Gadkar
Swarg Jaisaa Ghar,-1991,,"Drama, Family",2.8,9,Swaroop Kumar,Raj Babbar,Sumeet Saigal,Aasif Sheikh
Swarg Se Sundar Desh Hamara,-1945,,,5.9,9,Debaki Bose,Biman Bannerjee,Padmadevi,
Tarkeeb,-1984,136 min,"Action, Crime, Drama",4.6,9,Ravikant Nagaich,Mithun Chakraborty,Leena Das,Dinesh Hingoo
Tarzan Aur Jadui Chirag,-1966,136 min,Adventure,3.8,9,Baboobhai Bhanji,Azaad Irani,Sunita,B.M. Vyas
Teen Chor,-1973,126 min,"Action, Crime, Drama",5.8,9,Dada Mirasi,Vinod Mehra,Sulochana Latkar,Jeevan
Tera Mera Tedha Medha,-2015,107 min,Comedy,4,9,Chittaranjan Tripathy,Rahul Bagga,Geetika Tyagi,Reema Vohra
Terror Strike,-2018,104 min,Action,6.2,9,Kamal Nathani,Rajat Bedi,Gayatri,Raj Hussain
Thakur Jarnail Singh,-1966,,Action,5,9,Mohammed Hussain,Dara Singh,Helen,Indira
The Artist,-2011,100 min,Thriller,6.4,9,Sunil Prem Vyas,Mamta Bhatia,Sunil Prem Vyas,
The Cheat,-1974,,Drama,6.3,9,Suresh Issar,Sudesh Issar,Vinod Khanna,Moushumi Chatterjee
The Great Leader,-2017,,Drama,2.8,9,Abhishek Chhadha,Amitabh Bachchan,Jaya Bachchan,Gulshan Grover
The Himalayan Diaries,-2019,80 min,"Comedy, Romance",8,9,Anjanikumar Tripathi,Nikita Sharma,Priyanshu Solanki,Mahesh Gahalot
The Witch hour: Curse of the ring,-2017,,Horror,7.2,9,Anjanikumar Tripathi,Nitin Bhatia,Prateek Dubey,Saira Khan
Thokar,-1974,,"Action, Drama, Family",5.6,9,Dilip Bose,Baldev Khosa,Alka,Poonam Vaidya
Touhean,-1989,135 min,"Drama, Family",6.3,9,Madan Joshi,Raj Babbar,Dimple Kapadia,Padmini Kolhapure
Tu Nagin Main Sapera,-1989,,Action,4.3,9,V. Menon,Sonika Gill,Goga Kapoor,Anupam Kher
Tulsi,-1941,,,6.3,9,Gunjal,Shalini,Trilok Kapoor,Shrinavas
Turtle,-2018,,Drama,8.6,9,Dinesh S. Yadav,Sanjay Mishra,Plabita Borthakur,Adnan Choudhary
Udhaar,-1949,,Drama,8.9,9,S.S. Kulkarni,Dev Anand,Bharat Bhushan,Nirupa Roy
Unlock,-2020,,"Crime, Thriller",5.4,9,Debatma Mandal,Aditi Arya,Hina Khan,Rishabh Sinha
Upeksha,-2019,137 min,Family,7.8,9,Ravinddra Khare,Neha Joshi,Razak Khan,Ravinddra Khare
Vatsyayana Kamasutra,-2001,158 min,Thriller,5.1,9,Sanjay Khandelwal,Kumaar Aadarsh,Sudesh Berry,Diveyaa Dwivedi
Veer Baahubali,-2005,,Action,4.3,9,Aishwarya,Nithiin,Raima Sen,
Veer Ghatotkach,-1949,,"Action, Adventure, Drama",4.9,9,Nanabhai Bhatt,Amarnath,Shree Bhagwan,Sona Chatterjee
Veer Ghatotkach,-1970,,Adventure,6.8,9,Shantilal Soni,Chandgiram,Mahipal,Laxmi Chhaya
Vikram,-1991,,Action,5.3,9,Nagarjuna Akkineni,Gautami,Girish Karnad,Raghuvaran
Waapsi,-1986,,Mystery,5.6,9,Surendra Mohan,Rajesh Khanna,Nalini Jaywant,Heena Kausar
Waqt Ka Badshah,-1992,,Action,3.9,9,Manmohan,Manmohan Sabir,Akashdeep,Moon Moon Sen
Waqt Ki Pukar,-1984,,"Action, Crime, Drama",5.9,9,Desh Gautam,Shoma Anand,Yogeeta Bali,Vijayendra Ghatge
Waris,-1954,122 min,"Drama, Family",6.4,9,Nitin Bose,Talat Mahmood,Suraiya,Nadira
Welcome on Board,-2020,78 min,Drama,7.9,9,Mohsin Abrar,Bandana Basnett,Renuka Arora Bhagat,Muhammad Fazrul
Woh Koi Aur Hoga,-1967,,"Action, Drama, Mystery",6,9,A. Shamsheer,Sohrab Modi,Feroz Khan,Mumtaz
Yaaron Ka Yaar,-1977,150 min,Action,7,9,A. Bhimsingh,Shatrughan Sinha,Leena Chandavarkar,Prem Nath
Yeh Hai Chakkad Bakkad Bumbe Bo,-2003,90 min,Adventure,6.6,9,Sridhar Rangayan,Tom Alter,Mona Ambegaonkar,Aardra Athalye
Yeh Rishta Na Tootay,-1981,,"Crime, Drama",5.3,9,K. Vijayan,Rajendra Kumar,Mala Sinha,Vinod Mehra
Yeh Zindagi Kitni Haseen Hai,-1966,159 min,"Drama, Romance, Thriller",5.2,9,R.K. Nayyar,Saira Banu,Joy Mukherjee,Ashok Kumar
Zalim,-1980,120 min,"Action, Mystery",5.6,9,Babbar Subhash,Leena Chandavarkar,Vinod Khanna,Pran
Zamaanat,-1977,127 min,"Action, Drama, Thriller",3.8,9,A. Salaam,Jeetendra,Reena Roy,Ranjeet
Zimbo,-1958,142 min,"Adventure, Drama, Thriller",4.8,9,Homi Wadia,Chitra,Azaad Irani,Krishna Kumari
Zinda Laash,-1986,112 min,Drama,3.9,9,Manmohan Sabir,Aakash,Akashdeep,Birbal
#Gadhvi (He thought he was Gandhi),-2019,109 min,Drama,7,8,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid
1857,-1946,,"Drama, History",5,8,Mohan Sinha,Nigar Sultana,Suraiya,Menaka Devi
22 Days,-2018,124 min,Thriller,6.1,8,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh
A Treasure in the Snow,-2002,,Documentary,6.9,8,Goutam Ghose,,,
Aagman,-1982,,Drama,4.8,8,Muzaffar Ali,Masood Akhtar,Bharat Bhushan,Rajina Raj Bisaria
Aaj Aur Kal,-1947,,"Comedy, Sci-Fi",4.1,8,Khwaja Ahmad Abbas,Nayantara,Shyam,Rashid Ahmed
Aaj Ka Nanha Farishta,-2000,,"Action, Crime, Thriller",5.8,8,Pratap Barot,Ishrat Ali,Vikas Anand,Raj Babbar
Aanchal,-1960,,"Drama, Family",4.9,8,Vasant Joglekar,Ashok Kumar,Nirupa Roy,Nanda
Aandhi Aur Toofan,-1964,,"Action, Adventure, Romance",6,8,Mohammed Hussain,Dara Singh,Mumtaz,Kamran
Aasma,-2018,105 min,"Action, Crime, Drama",5.2,8,Sudipto Sen,Subrat Dutta,Ameet Gaurr,Sunny Hinduja
Ab Meri Baari,-1989,,Action,5.1,8,Bhagwan Thakur,Hemant Birje,Sudhir Dalvi,Kimi Katkar
Abhimanyu,-1980,,,3.2,8,Mahesh Bhatt,,,
Abhishap,-1986,,Drama,7.1,8,Biresh Chatterjee,Ranjit Mallick,Debashree Roy,Soumitra Bannerjee
Adil-E-Jahangir,-1955,150 min,Drama,5,8,G.P. Sippy,Pradeep Kumar,Meena Kumari,D.K. Sapru
Alam Ara,-1973,124 min,Drama,6.8,8,Nanubhoy Vakil,Nazima,Ajit Sachdev,Paidi Jairaj
Andher Gardi,-1990,,"Action, Drama",6,8,Ashok Tyagi,Raj Babbar,Kimi Katkar,Sripradha
Anokhi Pehchan,-1972,,"Drama, Romance",5.9,8,Satyen Bose,Sanjay Khan,Rakhee Gulzar,Simi Garewal
Apmaan,-1982,,Drama,5.8,8,Ami Asthana,Ami Asthana,Suresh Chatwal,Manik Irani
Ashok Chakra: Tribute to Real Heroes,-2010,86 min,Action,4.8,8,S.P. Muneshwar,Rajan Verma,Sudesh Berry,Arun Bakshi
Ashwani,-1991,,Drama,6.6,8,Bhanuchander,Shashi Dhar,Janardanan,Vallabaneni Janardhan
Avant Garde Pythagoras Sharma,-2011,,Drama,6.2,8,Ajay Singh,Chitrak Bandyopadhyay,Joy Fernandes,Benjamin Gilani
Baap Ka Baap,-2003,,Thriller,5,8,Gajendra Ahire,Laxmikant Berde,Rajesh Deshmukh,Vrunda Gajendra
Baarish,-1993,,Drama,6.4,8,Narendra Grewal,Sadashiv Amrapurkar,Mohnish Bahl,Rakesh Bedi
Baba Sathya Sai,-2017,,Biography,4.2,8,Kodi Ramakrishna,Sreejith Vijay,Jaya Prada,Sarath Babu
Bada Bhai,-1957,,"Drama, Family",5.1,8,K. Amarnath,Ajit,Kamini Kaushal,Anant Kumar
Baghban,-1938,159 min,Drama,7.2,8,Abdul Rashid Kardar,Bimla Kumari,B. Nandrekar,Sitara Devi
Bal Shivaji,-1982,,Drama,5.9,8,Prabhakar Pendhkar,Madhu Apte,Anand Joshi,Janhavi Khandekar
Balram Shri Krishna,-1968,176 min,Fantasy,5.6,8,Chandrakant,Dara Singh,Savitri,Jayshree Gadkar
Baraat,-1960,,Drama,6,8,K. Amarnath,Ajit,Shakila,Brahm Bhardwaj
Barkha Bahar,-1973,,Romance,5.9,8,Amar Kumar,Navin Nischol,Rekha,Radhakrishan
Bechain,-1993,135 min,"Action, Drama, Romance",4.8,8,Kawal Sharma,Sidhant Salaria,Malvika Tiwari,Raza Murad
Behram Khan,-1946,,,6.4,8,Gajanan Jagirdar,Gajanan Jagirdar,Mehtab,Suresh
Bhagat Gora Kumbhar,-1978,,"Drama, History",6.8,8,Dinesh Rawal,Rajni Bala,Ramesh Mehta,Shrikant Soni
